series_id        year        period        value        footnote_codes
JTS00000000JOL           2013        M02                3974
JTS00000000JOL           2013        M03                3872
JTS00000000JOL           2013        M04                3951
JTS00000000JOL           2013        M05                3873
JTS00000000JOL           2013        M06                3924
JTS00000000JOL           2013        M07                3896
JTS00000000JOL           2013        M08                3968
JTS00000000JOL           2013        M09                3959
JTS00000000JOL           2013        M10                4105
JTS00000000JOL           2013        M11                3837
JTS00000000JOL           2013        M12                3742
JTS00000000JOL           2014        M01                3980
JTS00000000JOL           2014        M02                4101
JTS00000000JOL           2014        M03                4167
JTS00000000JOL           2014        M04                4569
JTS00000000JOL           2014        M05                4594
JTS00000000JOL           2014        M06                4680
JTS00000000JOL           2014        M07                4648
JTS00000000JOL           2014        M08                5026
JTS00000000JOL           2014        M09                4625
JTS00000000JOL           2014        M10                4906
JTS00000000JOL           2014        M11                4684
JTS00000000JOL           2014        M12                4795
JTS00000000JOL           2015        M01                5104
JTS00000000JOL           2015        M02                5124
JTS00000000JOL           2015        M03                5125
JTS00000000JOL           2015        M04                5632
JTS00000000JOL           2015        M05                5421
JTS00000000JOL           2015        M06                5189
JTS00000000JOL           2015        M07                5891
JTS00000000JOL           2015        M08                5445
JTS00000000JOL           2015        M09                5414
JTS00000000JOL           2015        M10                5484
JTS00000000JOL           2015        M11                5221
JTS00000000JOL           2015        M12                5374
JTS00000000JOL           2016        M01                5713
JTS00000000JOL           2016        M02                5566
JTS00000000JOL           2016        M03                5852
JTS00000000JOL           2016        M04                5643
JTS00000000JOL           2016        M05                5582
JTS00000000JOL           2016        M06                5535
JTS00000000JOL           2016        M07                5973
JTS00000000JOL           2016        M08                5491
JTS00000000JOL           2016        M09                5666
JTS00000000JOL           2016        M10                5587
JTS00000000JOL           2016        M11                5631
JTS00000000JOL           2016        M12                5539
JTS00000000JOL           2017        M01                5625
JTS00000000JOL           2017        M02                5682
JTS00000000JOL           2017        M03                5785
JTS00000000JOL           2017        M04                5967
JTS00000000JOL           2017        M05                5702
JTS00000000JOL           2017        M06                6116
JTS00000000JOL           2017        M07                6140
JTS00000000JOL           2017        M08                6090
JTS00000000JOL           2017        M09                6177
JTS00000000JOL           2017        M10                5925
JTS00000000JOL           2017        M11                5978
JTS00000000JOL           2017        M12                5811        p
JTS00000000JOR           2000        M12                 3.4
JTS00000000JOR           2001        M01                 3.9
JTS00000000JOR           2001        M02                 3.4
JTS00000000JOR           2001        M03                 3.3
JTS00000000JOR           2001        M04                 3.6
JTS00000000JOR           2001        M05                 3.3
JTS00000000JOR           2001        M06                 3.1
JTS00000000JOR           2001        M07                 3.3
JTS00000000JOR           2001        M08                 3.0
JTS00000000JOR           2001        M09                 2.9
JTS00000000JOR           2001        M10                 2.7
JTS00000000JOR           2001        M11                 2.5
JTS00000000JOR           2001        M12                 2.5
JTS00000000JOR           2002        M01                 2.8
JTS00000000JOR           2002        M02                 2.5
JTS00000000JOR           2002        M03                 2.6
JTS00000000JOR           2002        M04                 2.6
JTS00000000JOR           2002        M05                 2.7
JTS00000000JOR           2002        M06                 2.5
JTS00000000JOR           2002        M07                 2.5
JTS00000000JOR           2002        M08                 2.6
JTS00000000JOR           2002        M09                 2.5
JTS00000000JOR           2002        M10                 2.6
JTS00000000JOR           2002        M11                 2.5
JTS00000000JOR           2002        M12                 2.2
JTS00000000JOR           2003        M01                 2.8
JTS00000000JOR           2003        M02                 2.5
JTS00000000JOR           2003        M03                 2.3
JTS00000000JOR           2003        M04                 2.5
JTS00000000JOR           2003        M05                 2.4
JTS00000000JOR           2003        M06                 2.5
JTS00000000JOR           2003        M07                 2.4
JTS00000000JOR           2003        M08                 2.5
JTS00000000JOR           2003        M09                 2.3
JTS00000000JOR           2003        M10                 2.4
JTS00000000JOR           2003        M11                 2.4
JTS00000000JOR           2003        M12                 2.4
JTS00000000JOR           2004        M01                 2.6
JTS00000000JOR           2004        M02                 2.5
JTS00000000JOR           2004        M03                 2.5
JTS00000000JOR           2004        M04                 2.7
JTS00000000JOR           2004        M05                 2.7
JTS00000000JOR           2004        M06                 2.5
JTS00000000JOR           2004        M07                 2.9
JTS00000000JOR           2004        M08                 2.7
JTS00000000JOR           2004        M09                 2.8
JTS00000000JOR           2004        M10                 2.8
JTS00000000JOR           2004        M11                 2.4
JTS00000000JOR           2004        M12                 2.7
JTS00000000JOR           2005        M01                 2.7
JTS00000000JOR           2005        M02                 2.8
JTS00000000JOR           2005        M03                 2.8
JTS00000000JOR           2005        M04                 3.1
JTS00000000JOR           2005        M05                 2.8
JTS00000000JOR           2005        M06                 2.9
JTS00000000JOR           2005        M07                 3.1
JTS00000000JOR           2005        M08                 2.9
JTS00000000JOR           2005        M09                 3.1
JTS00000000JOR           2005        M10                 3.1
JTS00000000JOR           2005        M11                 3.0
JTS00000000JOR           2005        M12                 2.9
JTS00000000JOR           2006        M01                 3.1
JTS00000000JOR           2006        M02                 3.0
JTS00000000JOR           2006        M03                 3.2
JTS00000000JOR           2006        M04                 3.3
JTS00000000JOR           2006        M05                 3.1
JTS00000000JOR           2006        M06                 3.1
JTS00000000JOR           2006        M07                 3.0
JTS00000000JOR           2006        M08                 3.2
JTS00000000JOR           2006        M09                 3.2
JTS00000000JOR           2006        M10                 3.2
JTS00000000JOR           2006        M11                 3.1
JTS00000000JOR           2006        M12                 3.0
JTS00000000JOR           2007        M01                 3.3
JTS00000000JOR           2007        M02                 3.1
JTS00000000JOR           2007        M03                 3.3
JTS00000000JOR           2007        M04                 3.4
JTS00000000JOR           2007        M05                 3.2
JTS00000000JOR           2007        M06                 3.2
JTS00000000JOR           2007        M07                 3.1
JTS00000000JOR           2007        M08                 3.2
